Name,Pay (USD millions),Year,Category
Oprah Winfrey,225.0,2005,Personalities
Tiger Woods,87.0,2005,Athletes
Mel Gibson,185.0,2005,Actors
George Lucas,290.0,2005,Directors/Producers
Shaquille O'Neal,33.4,2005,Athletes
Steven Spielberg,80.0,2005,Directors/Producers
Johnny Depp,37.0,2005,Actors
Madonna,50.0,2005,Musicians
Elton John,44.0,2005,Musicians
Tom Cruise,31.0,2005,Actors
Brad Pitt,25.0,2005,Actors
Dan Brown,76.5,2005,Authors
Will Smith,35.0,2005,Actors
David Letterman,40.0,2005,Personalities
Lance Armstrong,28.0,2005,Athletes
Michael Jordan,33.0,2005,Athletes
Michael Schumacher,60.0,2005,Athletes
Will Ferrell,40.0,2005,Comedians
Kobe Bryant,28.8,2005,Athletes
Sean (Diddy) Combs,36.0,2005,Musicians
Jay Leno,30.0,2005,Comedians
J.K. Rowling,59.1,2005,Authors
Metallica,37.4,2005,Musicians
Jennifer Lopez,17.0,2005,Musicians
Cast of Desperate Housewives,5.6,2005,Television actresses
David Beckham,32.5,2005,Athletes
Howard Stern,31.0,2005,Personalities
Rush Limbaugh,30.0,2005,Personalities
Shania Twain,34.0,2005,Musicians
Peter Jackson,47.0,2005,Directors/Producers
Denzel Washington,30.0,2005,Actors
Rod Stewart,31.0,2005,Musicians
Michael Vick,37.5,2005,Athletes
Bette Midler,31.0,2005,Musicians
The Olsen Twins,21.0,2005,Television actresses
Jerry Bruckheimer,66.0,2005,Directors/Producers
Jennifer Aniston,18.5,2005,Actresses
Derek Jeter,25.5,2005,Athletes
Julia Roberts,8.0,2005,Actresses
Prince,49.7,2005,Musicians
David Copperfield,57.0,2005,Magicians
Tobey Maguire,32.0,2005,Actors
The Eagles,45.0,2005,Musicians
Ray Romano,36.5,2005,Comedians
Nicole Kidman,14.5,2005,Actresses
Jeff Gordon,23.4,2005,Athletes
Phil Mickelson,26.8,2005,Athletes
Alex Rodriguez,27.5,2005,Athletes
Matt Damon,27.0,2005,Actors
Adam Sandler,28.0,2005,Actors
Oscar De La Hoya,38.0,2005,Athletes
Lindsay Lohan,11.0,2005,Television actresses
LeBron James,22.9,2005,Athletes
Hilary Duff,15.0,2005,Actresses
Paris Hilton,6.5,2005,Personalities
Bill Clinton,6.0,2005,Personalities
Maria Sharapova,18.2,2005,Athletes
Drew Barrymore,22.0,2005,Actresses
Andre Agassi,26.2,2005,Athletes
Manny Ramirez,24.2,2005,Athletes
Van Halen,29.6,2005,Musicians
Serena Williams,12.7,2005,Athletes
Valentino Rossi,28.0,2005,Athletes
Jessica Simpson,8.0,2005,Television actresses
Sandra Bullock,10.5,2005,Actresses
Cameron Diaz,13.0,2005,Actresses
Regis Philbin,20.0,2005,Personalities
James Patterson,27.0,2005,Authors
Paul Harvey,30.0,2005,Personalities
Jennifer Garner,14.0,2005,Television actresses
Nora Roberts,28.8,2005,Authors
Ronaldo,23.0,2005,Athletes
Judge Judy Sheindlin,28.0,2005,Personalities
Ellen DeGeneres,15.0,2005,Personalities
Naomi Watts,11.5,2005,Actresses
Ashlee Simpson,5.3,2005,Musicians
Gisele Bündchen,15.2,2005,Models
Dave Chappelle,12.0,2005,Comedians
John Madden,17.0,2005,Personalities
Rudy Giuliani,5.0,2005,Personalities
Venus Williams,6.5,2005,Athletes
Matt Hasselbeck,22.8,2005,Athletes
Jack Welch,9.2,2005,Authors
Walter Jones,23.2,2005,Athletes
Emeril Lagasse,9.0,2005,Personalities
Wolfgang Puck,12.0,2005,Personalities
Lindsay Davenport,6.0,2005,Athletes
Arthur Agatston,16.0,2005,Personalities
Annika Sorenstam,7.3,2005,Athletes
Heidi Klum,7.5,2005,Models
Kimora Lee Simmons,17.0,2005,Personalities
Patricia Heaton,9.0,2005,Television actresses
Kate Moss,5.0,2005,Models
Ken Jennings,3.2,2005,Personalities
Tyra Banks,6.0,2005,Personalities
Frankie Muniz,8.0,2005,Television actors
Adriana Lima,4.5,2005,Models
David Blaine,2.0,2005,Magicians
Amanda Bynes,1.5,2005,Actresses
Charlie Palmer,4.7,2005,Personalities
Steven Spielberg,332.0,2006,Directors/Producers
Howard Stern,302.0,2006,Personalities
George Lucas,235.0,2006,Directors/Producers
Oprah Winfrey,225.0,2006,Personalities
U2,110.0,2006,Musicians
Jerry Seinfeld,100.0,2006,Comedians
Rolling Stones,90.0,2006,Musicians
Tiger Woods,90.0,2006,Athletes
Dan Brown,88.0,2006,Authors
Jerry Bruckheimer,84.0,2006,Directors/Producers
J.K. Rowling,75.0,2006,Authors
The Eagles,70.0,2006,Musicians
Dick Wolf,70.0,2006,Directors/Producers
Tom Cruise,67.0,2006,Actors
Michael Schumacher,58.0,2006,Athletes
Andrew Lloyd Webber,56.0,2006,Musicians
Bruce Springsteen,55.0,2006,Musicians
Muhammad Ali,55.0,2006,Athletes
Cast of The Sopranos,52.0,2006,Television actors
Phil Mickelson,47.0,2006,Athletes
Dr. Phil McGraw,45.0,2006,Personalities
Donald Trump,44.0,2006,Personalities
Simon Cowell,43.0,2006,Personalities
50 Cent,41.0,2006,Musicians
Paul McCartney,40.0,2006,Musicians
David Letterman,40.0,2006,Personalities
Celine Dion,40.0,2006,Musicians
The Olsen Twins,40.0,2006,Television actresses
Peter Jackson,39.0,2006,Directors/Producers
Denzel Washington,38.0,2006,Actors
Neil Diamond,35.0,2006,Musicians
Elton John,34.0,2006,Musicians
Ray Romano,34.0,2006,Comedians
Jay Leno,32.0,2006,Comedians
Michael Jordan,32.0,2006,Athletes
Kobe Bryant,31.0,2006,Athletes
Rush Limbaugh,30.0,2006,Personalities
Rod Stewart,30.0,2006,Musicians
Shaquille O'Neal,30.0,2006,Athletes
Dave Matthews Band,30.0,2006,Musicians
Valentino Rossi,30.0,2006,Athletes
Gisele Bündchen,30.0,2006,Models
Johnny Depp,29.0,2006,Actors
Tom Hanks,29.0,2006,Actors
Alex Rodriguez,29.0,2006,Athletes
Tom Brady,29.0,2006,Athletes
Adam Sandler,29.0,2006,Actors
James Patterson,28.0,2006,Authors
Carson Palmer,28.0,2006,Athletes
David Beckham,27.0,2006,Athletes
Jodie Foster,27.0,2006,Actresses
Derek Jeter,27.0,2006,Athletes
LeBron James,26.0,2006,Athletes
Ronaldinho,26.0,2006,Athletes
Brad Pitt,25.0,2006,Actors
Will Smith,25.0,2006,Actors
Rick Warren,25.0,2006,Authors
Leonardo DiCaprio,25.0,2006,Actors
Kiefer Sutherland,23.0,2006,Television actors
Nicole Kidman,22.0,2006,Actresses
Dave Chappelle,22.0,2006,Comedians
Renee Zellweger,21.0,2006,Actresses
John Grisham,21.0,2006,Authors
Regis Philbin,21.0,2006,Personalities
Jim Carrey,20.0,2006,Comedians
Maria Sharapova,19.0,2006,Athletes
Larry the Cable Guy,19.0,2006,Comedians
Jennifer Aniston,18.0,2006,Actresses
Tyra Banks,18.0,2006,Personalities
Michelle Wie,17.0,2006,Athletes
Scarlett Johansson,16.0,2006,Actresses
Halle Berry,16.0,2006,Actresses
Sean (Diddy) Combs,16.0,2006,Musicians
Wolfgang Puck,16.0,2006,Personalities
Katie Couric,15.0,2006,Personalities
Cameron Diaz,15.0,2006,Actresses
Cast of Desperate Housewives,14.0,2006,Television actresses
Angelina Jolie,14.0,2006,Actresses
Jessica Simpson,14.0,2006,Television actresses
Diane Sawyer,12.0,2006,Personalities
George Lopez,12.0,2006,Comedians
Ryan Seacrest,12.0,2006,Personalities
Jennifer Lopez,10.0,2006,Musicians
Serena Williams,10.0,2006,Athletes
Emeril Lagasse,10.0,2006,Personalities
Reese Witherspoon,9.0,2006,Actresses
Bill O'Reilly,9.0,2006,Personalities
Matthew Broderick/Nathan Lane,9.0,2006,Actors
Eric Idle/Mike Nichols,9.0,2006,Comedians
Kate Moss,8.0,2006,Models
Annika Sorenstam,8.0,2006,Athletes
Paris Hilton,7.0,2006,Personalities
Venus Williams,7.0,2006,Athletes
Heidi Klum,7.0,2006,Models
Rachael Ray,6.0,2006,Personalities
Ty Pennington,6.0,2006,Television actors
Mel Brooks,5.0,2006,Directors/Producers
Mario Batali,5.0,2006,Personalities
Adriana Lima,4.0,2006,Models
Nicole Richie,2.0,2006,Personalities
Oprah Winfrey,260.0,2007,Personalities
Tiger Woods,100.0,2007,Athletes
Madonna,72.0,2007,Musicians
Rolling Stones,88.0,2007,Musicians
Brad Pitt,35.0,2007,Actors
Johnny Depp,92.0,2007,Actors
Elton John,53.0,2007,Musicians
Tom Cruise,31.0,2007,Actors
Jay-Z,83.0,2007,Musicians
Steven Spielberg,110.0,2007,Directors/Producers
Tom Hanks,74.0,2007,Actors
Grey's Anatomy cast,33.0,2007,Television actresses
Howard Stern,70.0,2007,Personalities
Angelina Jolie,20.0,2007,Actresses
David Beckham,33.0,2007,Athletes
Phil Mickelson,42.0,2007,Athletes
David Letterman,40.0,2007,Personalities
Bon Jovi,67.0,2007,Musicians
Donald Trump,32.0,2007,Personalities
Celine Dion,45.0,2007,Musicians
Simon Cowell,45.0,2007,Personalities
U2,30.0,2007,Musicians
Kobe Bryant,33.0,2007,Athletes
Michael Schumacher,36.0,2007,Athletes
Shaquille O'Neal,32.0,2007,Athletes
Jay Leno,32.0,2007,Comedians
Nicole Kidman,28.0,2007,Actresses
Ben Stiller,38.0,2007,Actors
Alex Rodriguez,29.0,2007,Athletes
Dr. Phil McGraw,30.0,2007,Personalities
Ronaldinho,31.0,2007,Athletes
50 Cent,33.0,2007,Musicians
Brian Grazer/Ron Howard,70.0,2007,Directors/Producers
Justin Timberlake,20.0,2007,Musicians
Michael Jordan,31.0,2007,Athletes
Rush Limbaugh,33.0,2007,Personalities
Tim McGraw,37.0,2007,Musicians
Roger Federer,29.0,2007,Athletes
Jerry Bruckheimer,120.0,2007,Directors/Producers
George Clooney,25.0,2007,Actors
Kimi Raikkonen,40.0,2007,Athletes
Jerry Seinfeld,60.0,2007,Comedians
Sean (Diddy) Combs,23.0,2007,Musicians
Jennifer Aniston,14.0,2007,Actresses
Adam Sandler,30.0,2007,Actors
Oscar De La Hoya,43.0,2007,Athletes
Cast of Desperate Housewives,16.0,2007,Television actresses
LeBron James,27.0,2007,Athletes
J.K. Rowling,32.0,2007,Authors
Derek Jeter,28.0,2007,Athletes
Maria Sharapova,23.0,2007,Athletes
Matt Damon,24.0,2007,Actors
Gisele Bündchen,33.0,2007,Models
Vince Vaughn,25.0,2007,Actors
Bill Clinton,7.0,2007,Personalities
Gore Verbinski,37.0,2007,Directors/Producers
Will Smith,31.0,2007,Actors
Valentino Rossi,30.0,2007,Athletes
Judge Judy Sheindlin,30.0,2007,Personalities
Jessica Simpson,7.0,2007,Television actresses
Tyra Banks,18.0,2007,Personalities
Anthony Robbins,30.0,2007,Actors
Cate Blanchett,13.0,2007,Actresses
Regis Philbin,21.0,2007,Personalities
Sandra Bullock,10.0,2007,Actresses
Rachael Ray,16.0,2007,Personalities
Alan Greenspan,16.0,2007,Personalities
Julia Roberts,9.0,2007,Actresses
Serena Williams,14.0,2007,Athletes
Michelle Wie,19.0,2007,Athletes
Keira Knightley,9.0,2007,Actresses
Hilary Duff,12.0,2007,Actresses
George Lopez,26.0,2007,Comedians
Kate Moss,9.0,2007,Models
Barbara Walters,12.0,2007,Personalities
Ryan Seacrest,14.0,2007,Personalities
Scarlett Johansson,5.0,2007,Actresses
Jessica Alba,9.0,2007,Television actresses
Daniel Radcliffe,15.0,2007,Actors
Reese Witherspoon,7.0,2007,Actresses
Larry the Cable Guy,20.0,2007,Comedians
Deepak Chopra,22.0,2007,Musicians
Annika Sorenstam,10.0,2007,Athletes
Heidi Klum,8.0,2007,Models
J.J. Abrams,17.0,2007,Directors/Producers
Dan Brown,10.0,2007,Authors
Emeril Lagasse,9.0,2007,Personalities
Wolfgang Puck,13.0,2007,Personalities
Dane Cook,9.0,2007,Comedians
Jack Welch,11.0,2007,Authors
John Grisham,9.0,2007,Authors
Jeff Foxworthy,10.0,2007,Comedians
Rhonda Byrne,12.0,2007,Authors
Dakota Fanning,4.0,2007,Actresses
Danica Patrick,5.0,2007,Athletes
Mitch Albom,6.0,2007,Authors
Emma Watson,4.0,2007,Actresses
Hayden Panettiere,2.0,2007,Television actresses
Paula Deen,4.0,2007,Personalities
Bobby Flay,2.0,2007,Personalities
Oprah Winfrey,275.0,2008,Personalities
Tiger Woods,115.0,2008,Athletes
Angelina Jolie,14.0,2008,Actresses
Beyonce Knowles,80.0,2008,Musicians
David Beckham,50.0,2008,Athletes
Johnny Depp,72.0,2008,Actors
Jay-Z,82.0,2008,Musicians
The Police,115.0,2008,Musicians
J.K. Rowling,300.0,2008,Authors
Brad Pitt,20.0,2008,Actors
Will Smith,80.0,2008,Actors
Justin Timberlake,44.0,2008,Musicians
Steven Spielberg,130.0,2008,Directors/Producers
Cameron Diaz,50.0,2008,Actresses
David Letterman,45.0,2008,Personalities
LeBron James,38.0,2008,Athletes
Jennifer Aniston,27.0,2008,Actresses
Michael Jordan,45.0,2008,Athletes
Kobe Bryant,39.0,2008,Athletes
Phil Mickelson,45.0,2008,Athletes
Madonna,40.0,2008,Musicians
Simon Cowell,72.0,2008,Personalities
Roger Federer,35.0,2008,Athletes
Alex Rodriguez,34.0,2008,Athletes
Jerry Seinfeld,85.0,2008,Comedians
50 Cent,150.0,2008,Musicians
Kanye West,30.0,2008,Musicians
Celine Dion,40.0,2008,Musicians
Bruce Willis,41.0,2008,Actors
Dr. Phil McGraw,40.0,2008,Personalities
Tom Cruise,13.0,2008,Actors
Jay Leno,32.0,2008,Comedians
Sean (Diddy) Combs,35.0,2008,Musicians
Stephen King,45.0,2008,Authors
Miley Cyrus,25.0,2008,Musicians
Kimi Raikkonen,44.0,2008,Athletes
Jeff Gordon,32.0,2008,Athletes
Ronaldinho,37.0,2008,Athletes
Shaquille O'Neal,32.0,2008,Athletes
Judge Judy Sheindlin,45.0,2008,Personalities
Howard Stern,70.0,2008,Personalities
Tyler Perry,125.0,2008,Directors/Producers
Fernando Alonso,33.0,2008,Athletes
Leonardo DiCaprio,45.0,2008,Actors
Donald Trump,30.0,2008,Personalities
George Lucas,50.0,2008,Directors/Producers
Keira Knightley,32.0,2008,Actresses
Jerry Bruckheimer,145.0,2008,Directors/Producers
Nicolas Cage,38.0,2008,Actors
Spice Girls,21.0,2008,Musicians
Matt Damon,21.0,2008,Actors
Dale Earnhardt Jr.,31.0,2008,Athletes
Bon Jovi,25.0,2008,Musicians
Jennifer Lopez,7.0,2008,Musicians
Ben Stiller,40.0,2008,Actors
Kevin Garnett,29.0,2008,Athletes
Nicole Kidman,13.0,2008,Actresses
James Patterson,50.0,2008,Authors
Rush Limbaugh,33.0,2008,Personalities
Reese Witherspoon,25.0,2008,Actresses
Maria Sharapova,26.0,2008,Athletes
Ryan Seacrest,31.0,2008,Personalities
Gwen Stefani,27.0,2008,Musicians
Daniel Radcliffe,25.0,2008,Actors
Alicia Keys,15.0,2008,Musicians
Gisele Bündchen,35.0,2008,Models
Gwyneth Paltrow,25.0,2008,Actresses
Tyra Banks,23.0,2008,Personalities
Serena Williams,14.0,2008,Athletes
Eva Longoria,9.0,2008,Television actresses
Ellen DeGeneres,20.0,2008,Personalities
Sarah Jessica Parker,18.0,2008,Television actresses
Katherine Heigl,13.0,2008,Models
Regis Philbin,21.0,2008,Personalities
Tom Clancy,35.0,2008,Authors
Rachael Ray,18.0,2008,Personalities
Cate Blanchett,12.0,2008,Actresses
Heidi Klum,14.0,2008,Models
Carrie Underwood,9.0,2008,Musicians
Jon Stewart,14.0,2008,Personalities
Justine Henin,12.5,2008,Athletes
Judd Apatow,27.0,2008,Directors/Producers
Kate Moss,7.5,2008,Models
Patrick Dempsey,13.5,2008,Television actors
Charlie Sheen,20.0,2008,Television actors
Drew Carey,12.0,2008,Comedians
Steve Carell,5.0,2008,Comedians
Lorena Ochoa,10.0,2008,Athletes
Jonas Brothers,12.0,2008,Musicians
Howie Mandel,14.0,2008,Comedians
Wolfgang Puck,16.0,2008,Personalities
Zac Efron,5.8,2008,Actors
Annika Sorenstam,11.0,2008,Athletes
Ashley Tisdale,5.5,2008,Television actresses
Gordon Ramsay,7.5,2008,Personalities
Jennifer Love Hewitt,5.0,2008,Television actresses
Lauren Conrad,1.5,2008,Personalities
Vanessa Williams,4.5,2008,Television actresses
Tina Fey,4.6,2008,Television actresses
Paula Deen,4.5,2008,Personalities
Angelina Jolie,27.0,2009,Actresses
Oprah Winfrey,275.0,2009,Personalities
Madonna,110.0,2009,Musicians
Beyonce Knowles,87.0,2009,Musicians
Tiger Woods,110.0,2009,Athletes
Bruce Springsteen,70.0,2009,Musicians
Steven Spielberg,150.0,2009,Directors/Producers
Jennifer Aniston,25.0,2009,Actresses
Brad Pitt,28.0,2009,Actors
Kobe Bryant,45.0,2009,Athletes
Will Smith,45.0,2009,Actors
Dr. Phil McGraw,80.0,2009,Personalities
Britney Spears,35.0,2009,Musicians
David Letterman,45.0,2009,Personalities
Coldplay,70.0,2009,Musicians
Adam Sandler,55.0,2009,Actors
Harrison Ford,65.0,2009,Actors
Michael Jordan,45.0,2009,Athletes
LeBron James,40.0,2009,Athletes
Tom Cruise,33.0,2009,Actors
Bon Jovi,50.0,2009,Musicians
Donald Trump,50.0,2009,Personalities
Rush Limbaugh,54.0,2009,Personalities
George Lucas,170.0,2009,Directors/Producers
Simon Cowell,75.0,2009,Personalities
Stephenie Meyer,50.0,2009,Authors
Roger Federer,33.0,2009,Athletes
David Beckham,42.0,2009,Athletes
Miley Cyrus,25.0,2009,Musicians
Tyler Perry,75.0,2009,Directors/Producers
Kenny Chesney,65.0,2009,Musicians
Jay-Z,35.0,2009,Musicians
Clint Eastwood,35.0,2009,Directors/Producers
Howard Stern,70.0,2009,Personalities
Sean (Diddy) Combs,30.0,2009,Musicians
Phil Mickelson,40.0,2009,Athletes
Jerry Seinfeld,85.0,2009,Comedians
Dave Matthews Band,65.0,2009,Musicians
Tom Hanks,35.0,2009,Actors
Ellen DeGeneres,35.0,2009,Personalities
Eddie Murphy,40.0,2009,Comedians
Rascal Flatts,60.0,2009,Musicians
Jay Leno,32.0,2009,Comedians
Ryan Seacrest,38.0,2009,Personalities
Nicolas Cage,40.0,2009,Actors
Kanye West,25.0,2009,Musicians
AC/DC,60.0,2009,Musicians
George Clooney,25.0,2009,Actors
Barack Obama,2.0,2009,Personalities
50 Cent,20.0,2009,Musicians
Brian Grazer/Ron Howard,45.0,2009,Directors/Producers
Kimi Raikkonen,45.0,2009,Athletes
Jerry Bruckheimer,100.0,2009,Directors/Producers
Chris Rock,42.0,2009,Comedians
Ronaldinho,30.0,2009,Athletes
Jim Carrey,30.0,2009,Comedians
Manny Pacquiao,40.0,2009,Athletes
Sarah Jessica Parker,27.0,2009,Television actresses
Toby Keith,52.0,2009,Musicians
Jonas Brothers,25.0,2009,Musicians
James Patterson,60.0,2009,Authors
Kevin Garnett,30.0,2009,Athletes
Jeff Gordon,30.0,2009,Athletes
Meryl Streep,24.0,2009,Actresses
Larry David,55.0,2009,Comedians
Derek Jeter,30.0,2009,Athletes
Serena Williams,17.0,2009,Athletes
Stephen King,30.0,2009,Authors
Taylor Swift,18.0,2009,Musicians
Daniel Radcliffe,25.0,2009,Actors
Reese Witherspoon,15.0,2009,Actresses
Gisele Bündchen,25.0,2009,Models
Cameron Diaz,20.0,2009,Actresses
Nicole Kidman,9.0,2009,Actresses
Carrie Underwood,14.0,2009,Musicians
Maria Sharapova,22.0,2009,Athletes
Venus Williams,15.0,2009,Athletes
Heidi Klum,16.0,2009,Models
Rachael Ray,15.0,2009,Personalities
David Copperfield,30.0,2009,Magicians
Glenn Beck,23.0,2009,Personalities
Katherine Heigl,18.0,2009,Models
Jon Stewart,14.0,2009,Personalities
Jeff Dunham,30.0,2009,Comedians
Anne Hathaway,7.0,2009,Actresses
Tina Fey,7.0,2009,Television actresses
Drew Barrymore,12.0,2009,Actresses
Charlie Sheen,21.0,2009,Television actors
Eva Longoria,9.0,2009,Television actresses
Ana Ivanovic,10.0,2009,Athletes
Alec Baldwin,8.0,2009,Actors
Sandra Bullock,17.0,2009,Actresses
Steve Carell,20.0,2009,Comedians
Hugh Laurie,10.0,2009,Television actors
Wolfgang Puck,18.0,2009,Personalities
Penn & Teller,20.0,2009,Magicians
Kate Moss,8.0,2009,Models
Mariska Hargitay,8.0,2009,Television actresses
Jennifer Love Hewitt,6.0,2009,Television actresses
Danica Patrick,7.0,2009,Athletes
Oprah Winfrey,315.0,2010,Personalities
Beyonce Knowles,87.0,2010,Musicians
James Cameron,210.0,2010,Directors/Producers
Lady Gaga,62.0,2010,Musicians
Tiger Woods,105.0,2010,Athletes
Britney Spears,64.0,2010,Musicians
U2,130.0,2010,Musicians
Sandra Bullock,56.0,2010,Actresses
Johnny Depp,75.0,2010,Actors
Madonna,58.0,2010,Musicians
Simon Cowell,80.0,2010,Personalities
Taylor Swift,45.0,2010,Musicians
Miley Cyrus,48.0,2010,Musicians
Kobe Bryant,48.0,2010,Athletes
Jay-Z,63.0,2010,Musicians
Black Eyed Peas,48.0,2010,Musicians
Bruce Springsteen,70.0,2010,Musicians
Angelina Jolie,20.0,2010,Actresses
Rush Limbaugh,58.5,2010,Personalities
Michael Jordan,55.0,2010,Athletes
Dr. Phil McGraw,80.0,2010,Personalities
Steven Spielberg,100.0,2010,Directors/Producers
Ellen DeGeneres,55.0,2010,Personalities
David Letterman,45.0,2010,Personalities
Tyler Perry,125.0,2010,Directors/Producers
Jennifer Aniston,27.0,2010,Actresses
Pink,44.0,2010,Musicians
LeBron James,43.0,2010,Athletes
Roger Federer,43.0,2010,Athletes
Brad Pitt,20.0,2010,Actors
Floyd Mayweather,65.0,2010,Athletes
Michael Bay,120.0,2010,Directors/Producers
Donald Trump,50.0,2010,Personalities
Jay Leno,35.0,2010,Comedians
Coldplay,48.0,2010,Musicians
David Beckham,44.0,2010,Athletes
Jerry Seinfeld,75.0,2010,Comedians
AC/DC,114.0,2010,Musicians
Howard Stern,70.0,2010,Personalities
Jonas Brothers,35.5,2010,Musicians
Tom Hanks,45.0,2010,Actors
George Lucas,95.0,2010,Directors/Producers
Glenn Beck,35.0,2010,Personalities
Ryan Seacrest,51.0,2010,Personalities
Phil Mickelson,46.0,2010,Athletes
Ben Stiller,53.0,2010,Actors
Jerry Bruckheimer,100.0,2010,Directors/Producers
Cristiano Ronaldo,36.0,2010,Athletes
Alex Rodriguez,36.0,2010,Athletes
Robert Pattinson,17.0,2010,Actors
Conan O'Brien,38.0,2010,Personalities
Shaquille O'Neal,31.0,2010,Athletes
James Patterson,70.0,2010,Authors
Kenny Chesney,50.0,2010,Musicians
Manny Pacquiao,42.0,2010,Athletes
Tom Cruise,22.0,2010,Actors
Adam Sandler,40.0,2010,Actors
George Clooney,19.0,2010,Actors
Stephenie Meyer,40.0,2010,Authors
Cameron Diaz,32.0,2010,Actresses
Serena Williams,20.0,2010,Athletes
Rascal Flatts,45.0,2010,Musicians
Charlie Sheen,30.0,2010,Television actors
Derek Jeter,30.0,2010,Athletes
Lance Armstrong,20.0,2010,Athletes
Kristen Stewart,12.0,2010,Actresses
Toby Keith,48.0,2010,Musicians
Sean (Diddy) Combs,30.0,2010,Musicians
Stephen King,34.0,2010,Authors
Sarah Jessica Parker,25.0,2010,Television actresses
Leonardo DiCaprio,28.0,2010,Actors
Judge Judy Sheindlin,45.0,2010,Personalities
Robert Downey Jr.,22.0,2010,Actors
Lil Wayne,20.0,2010,Musicians
Reese Witherspoon,32.0,2010,Actresses
Keith Urban,27.5,2010,Musicians
Julia Roberts,20.0,2010,Actresses
Steve Carell,34.0,2010,Comedians
Meryl Streep,13.0,2010,Actresses
Akon,21.0,2010,Musicians
Maria Sharapova,25.0,2010,Athletes
Daniel Radcliffe,25.0,2010,Actors
Venus Williams,15.5,2010,Athletes
Ray Romano,35.0,2010,Comedians
Gisele Bündchen,25.0,2010,Models
Heidi Klum,16.0,2010,Models
Drew Barrymore,15.0,2010,Actresses
Alec Baldwin,8.5,2010,Actors
Kiefer Sutherland,20.0,2010,Television actors
Tina Fey,7.5,2010,Television actresses
Kate Moss,9.0,2010,Models
Eva Longoria,12.0,2010,Television actresses
Jeff Dunham,22.5,2010,Comedians
George Lopez,18.0,2010,Comedians
Katherine Heigl,15.5,2010,Models
Danica Patrick,12.0,2010,Athletes
Kate Hudson,11.0,2010,Actresses
Chelsea Handler,19.0,2010,Comedians
Jennifer Love Hewitt,6.5,2010,Television actresses
Mariska Hargitay,9.5,2010,Television actresses
Lady Gaga,90.0,2011,Musicians
Oprah Winfrey,290.0,2011,Personalities
Justin Bieber,53.0,2011,Musicians
U2,195.0,2011,Musicians
Elton John,100.0,2011,Musicians
Tiger Woods,75.0,2011,Athletes
Taylor Swift,45.0,2011,Musicians
Bon Jovi,125.0,2011,Musicians
Simon Cowell,90.0,2011,Personalities
LeBron James,48.0,2011,Athletes
Angelina Jolie,30.0,2011,Actresses
Katy Perry,44.0,2011,Musicians
Johnny Depp,50.0,2011,Actors
Kobe Bryant,53.0,2011,Athletes
Leonardo DiCaprio,77.0,2011,Actors
Black Eyed Peas,61.0,2011,Musicians
Donald Trump,60.0,2011,Personalities
Dr. Phil McGraw,80.0,2011,Personalities
Tyler Perry,130.0,2011,Directors/Producers
Paul McCartney,67.0,2011,Musicians
Jennifer Aniston,28.0,2011,Actresses
Steven Spielberg,107.0,2011,Directors/Producers
Rush Limbaugh,64.0,2011,Personalities
Ryan Seacrest,61.0,2011,Personalities
Roger Federer,47.0,2011,Athletes
Howard Stern,76.0,2011,Personalities
James Cameron,70.0,2011,Directors/Producers
Charlie Sheen,40.0,2011,Television actors
Beyonce Knowles,35.0,2011,Musicians
Glenn Beck,40.0,2011,Personalities
Ellen DeGeneres,45.0,2011,Personalities
Usher,46.0,2011,Musicians
David Letterman,45.0,2011,Personalities
Muse,35.0,2011,Musicians
David Beckham,40.0,2011,Athletes
Phil Mickelson,47.0,2011,Athletes
James Patterson,84.0,2011,Authors
Jay-Z,37.0,2011,Musicians
Jerry Bruckheimer,113.0,2011,Directors/Producers
Jerry Seinfeld,70.0,2011,Comedians
Adam Sandler,40.0,2011,Actors
Bethenny Frankel,55.0,2011,Personalities
Cristiano Ronaldo,38.0,2011,Athletes
Sandra Bullock,15.0,2011,Actresses
Brad Pitt,20.0,2011,Actors
Rafael Nadal,31.0,2011,Athletes
Christopher Nolan,53.0,2011,Directors/Producers
Brad Paisley,40.0,2011,Musicians
Alex Rodriguez,35.0,2011,Athletes
Jennifer Lopez,25.0,2011,Musicians
Toby Keith,50.0,2011,Musicians
Sean (Diddy) Combs,35.0,2011,Musicians
Robert Pattinson,20.0,2011,Actors
Dick Wolf,70.0,2011,Directors/Producers
Tom Brady,31.0,2011,Athletes
Jay Leno,32.0,2011,Comedians
Dwyane Wade,26.0,2011,Athletes
Tom Hanks,35.0,2011,Actors
Dwight Howard,28.0,2011,Athletes
Gisele Bündchen,45.0,2011,Models
Tim McGraw,35.0,2011,Musicians
Lionel Messi,32.0,2011,Athletes
Kristen Stewart,20.0,2011,Actresses
Reese Witherspoon,28.0,2011,Actresses
Will Smith,36.0,2011,Actors
Robert Downey Jr.,31.0,2011,Actors
Mark Burnett,45.0,2011,Directors/Producers
Ben Stiller,34.0,2011,Actors
Derek Jeter,29.0,2011,Athletes
Julia Roberts,20.0,2011,Actresses
Eminem,14.0,2011,Musicians
Peyton Manning,26.0,2011,Athletes
Sarah Jessica Parker,30.0,2011,Television actresses
Mark Wahlberg,28.0,2011,Actors
Natalie Portman,8.0,2011,Actresses
Kanye West,16.0,2011,Musicians
Chuck Lorre,35.0,2011,Directors/Producers
Danielle Steel,35.0,2011,Authors
Stephen King,28.0,2011,Authors
Maria Sharapova,24.0,2011,Athletes
Cameron Diaz,18.0,2011,Actresses
